"FacilityID";"ProvinceCode";"DistrictCode";"FacilityCode";"FacilityName";"FullFacilityCode";"FullFacilityCodeDashes"
1;0;"A";"01";"Avondale Clinic";"000A01";"00-0A-01"
2;0;"A";"02";"Arcadia P.C.C.";"000A02";"00-0A-02"
3;0;"A";"03";"Bank Street P.C.C.";"000A03";"00-0A-03"
4;0;"A";"05";"Belvedere F.H.C.";"000A05";"00-0A-05"
5;0;"A";"06";"Borrowdale F.H.C.";"000A06";"00-0A-06"
6;0;"A";"07";"Borrowdale P.C.C.";"000A07";"00-0A-07"
7;0;"A";"08";"Braeside F.H.C.";"000A08";"00-0A-08"
8;0;"A";"09";"Budiriro Polyclinic";"000A09";"00-0A-09"
9;0;"A";"0A";"Mbuya Nehanda";"000A0A";"00-0A-0A"
10;0;"A";"0B";"Psychriatic Unit";"000A0B";"00-0A-0B"
11;0;"A";"0C";"Beatrice Rd.Infectio";"000A0C";"00-0A-0C"
12;0;"A";"0D";"Wilkins Infectious H";"000A0D";"00-0A-0D"
13;0;"A";"0E";"St.Annes";"000A0E";"00-0A-0E"
14;0;"A";"0F";"Avenues Clinic";"000A0F";"00-0A-0F"
15;0;"A";"0U";"Harare City All Clinics";"000A0U";"00-0A-0U"
16;0;"A";"10";"Eastlea F.H.C.";"000A10";"00-0A-10"
17;0;"A";"11";"Glen Norah Satellite";"000A11";"00-0A-11"
18;0;"A";"12";"Glen Norah Polyclin.";"000A12";"00-0A-12"
19;0;"A";"13";"Glen View Polyclinic";"000A13";"00-0A-13"
20;0;"A";"14";"Glen View Satellite";"000A14";"00-0A-14"
21;0;"A";"15";"Greendale F.H.C.";"000A15";"00-0A-15"
22;0;"A";"16";"Hatcliffe F.H.C.";"000A16";"00-0A-16"
23;0;"A";"17";"Hatcliffe P.C.C.";"000A17";"00-0A-17"
24;0;"A";"18";"Highfield Polyclinic";"000A18";"00-0A-18"
25;0;"A";"19";"Kambuzuma Polyclinic";"000A19";"00-0A-19"
26;0;"A";"20";"Kuwadzana Polyclinic";"000A20";"00-0A-20"
27;0;"A";"21";"Mabelreign Satellite";"000A21";"00-0A-21"
28;0;"A";"22";"Mabvuku F.H.C.";"000A22";"00-0A-22"
29;0;"A";"23";"Mabvuku P.C.C.";"000A23";"00-0A-23"
30;0;"A";"24";"Marondera Polyclinic";"000A24";"00-0A-24"
31;0;"A";"25";"Matapi Clinic";"000A25";"00-0A-25"
32;0;"A";"26";"Mbare Hostels Clinic";"000A26";"00-0A-26"
33;0;"A";"27";"Mbare Polyclinic";"000A27";"00-0A-27"
34;0;"A";"28";"Mt.Pleasant P.C.C.";"000A28";"00-0A-28"
35;0;"A";"29";"Mufakose Polyclinic";"000A29";"00-0A-29"
36;0;"A";"30";"Parirenyatwa P.C.C.";"000A30";"00-0A-30"
37;0;"A";"31";"Queen Elisabeth Fhc.";"000A31";"00-0A-31"
38;0;"A";"32";"Rugare Clinic";"000A32";"00-0A-32"
39;0;"A";"33";"Rujeko Clinic";"000A33";"00-0A-33"
40;0;"A";"34";"Rutsanana Clinic";"000A34";"00-0A-34"
41;0;"A";"35";"Southerton P.C.C.";"000A35";"00-0A-35"
42;0;"A";"36";"Sunningdale F.H.C.";"000A36";"00-0A-36"
43;0;"A";"37";"Sunningdale P.C.C.";"000A37";"00-0A-37"
44;0;"A";"38";"Tafara Clinic";"000A38";"00-0A-38"
45;0;"A";"39";"Warren Park Polycli.";"000A39";"00-0A-39"
46;0;"A";"40";"Waterfalls F.H.C.";"000A40";"00-0A-40"
47;0;"A";"41";"Waterfalls P.C.C.";"000A41";"00-0A-41"
48;0;"A";"42";"Western Triangle Pcc";"000A42";"00-0A-42"
49;0;"A";"43";"Kg Six";"000A43";"00-0A-43"
50;0;"B";"01";"Seke South Clinic";"000B01";"00-0B-01"
51;0;"B";"02";"Seke North Clinic";"000B02";"00-0B-02"
52;0;"B";"03";"St.Mary's Clinic";"000B03";"00-0B-03"
53;0;"B";"04";"Zengeza Clinic";"000B04";"00-0B-04"
54;0;"B";"0B";"South Medical Hospital";"000B0B";"00-0B-0B"
55;0;"C";"01";"Chitungwiza Hospital";"000C01";"00-0C-01"
56;0;"D";"01";"Harare Cent Hosp";"000D01";"00-0D-01"
57;0;"D";"07";"Harare Hosp";"000D07";"00-0D-07"
58;0;"D";"0D";"Harare  Hosp";"000D0D";"00-0D-0D"
59;0;"E";"01";"Casualty";"000E01";"00-0E-01"
60;0;"E";"02";"Domestic Staff Clin.";"000E02";"00-0E-02"
61;0;"E";"03";"Family Planning";"000E03";"00-0E-03"
62;0;"E";"04";"Geriatric Centre";"000E04";"00-0E-04"
63;0;"E";"05";"G.M.O.";"000E05";"00-0E-05"
64;0;"E";"06";"O.P.D. (T)";"000E06";"00-0E-06"
65;0;"E";"07";"O.P.D. (Nt)";"000E07";"00-0E-07"
66;0;"E";"08";"Radiotherapy";"000E08";"00-0E-08"
67;0;"E";"09";"Sekuru Kaguvi";"000E09";"00-0E-09"
68;0;"E";"0E";"Parirenyatwa";"000E0E";"00-0E-0E"
69;0;"E";"10";"Staff Clinic";"000E10";"00-0E-10"
70;0;"F";"01";"Parirenyatwa Clinic";"000F01";"00-0F-01"
71;0;"F";"02";"Hatfield Clinic";"000F02";"00-0F-02"
72;0;"F";"03";"Arcadia Clinic";"000F03";"00-0F-03"
73;0;"F";"04";"Mabvuku Poly";"000F04";"00-0F-04"
74;0;"F";"05";"Highlands";"000F05";"00-0F-05"
75;0;"F";"06";"Mabvuku Satelite Clinic";"000F06";"00-0F-06"
76;0;"F";"07";"Borrowdale Clinic";"000F07";"00-0F-07"
77;0;"F";"08";"Mount Pleasant";"000F08";"00-0F-08"
78;0;"F";"09";"Hatcliffe Clinic";"000F09";"00-0F-09"
79;0;"F";"0C";"Beatrice Road Hosp";"000F0C";"00-0F-0C"
80;0;"F";"0D";"Wilkins Hospital";"000F0D";"00-0F-0D"
81;0;"F";"10";"Avondale Clinic";"000F10";"00-0F-10"
82;0;"F";"11";"Marlborough Satelite Clinic";"000F11";"00-0F-11"
83;0;"F";"12";"Mabelreign Satelite";"000F12";"00-0F-12"
84;0;"F";"13";"Rujeko Poly";"000F13";"00-0F-13"
85;0;"F";"14";"Belvedere Satelite";"000F14";"00-0F-14"
86;0;"F";"15";"Warren Park  Poly";"000F15";"00-0F-15"
87;0;"F";"16";"Kuwadzana Poly";"000F16";"00-0F-16"
88;0;"F";"17";"Kambuzuma Poly";"000F17";"00-0F-17"
89;0;"F";"18";"Southerton Clinic";"000F18";"00-0F-18"
90;0;"F";"19";"Highfield Poly";"000F19";"00-0F-19"
91;0;"F";"20";"Rutsanana Poly";"000F20";"00-0F-20"
92;0;"F";"21";"Western Triangle Clinic";"000F21";"00-0F-21"
93;0;"F";"22";"Glen Norah Satelite";"000F22";"00-0F-22"
94;0;"F";"23";"Glen View  Poly";"000F23";"00-0F-23"
95;0;"F";"24";"Glen View Satelite";"000F24";"00-0F-24"
96;0;"F";"25";"Mufakose Poly";"000F25";"00-0F-25"
97;0;"F";"26";"Budiriro Poly";"000F26";"00-0F-26"
98;0;"F";"27";"Mbare Poly ";"000F27";"00-0F-27"
99;0;"F";"28";"Matapi Clinic";"000F28";"00-0F-28"
100;0;"F";"29";"Mbare Hostels Clinic";"000F29";"00-0F-29"
101;0;"F";"30";"Sunningdale Clinic";"000F30";"00-0F-30"
102;0;"F";"31";"Waterfalls Clinic";"000F31";"00-0F-31"
103;0;"F";"32";"Hopley Clinic";"000F32";"00-0F-32"
104;0;"F";"33";"Private Institutions";"000F33";"00-0F-33"
105;1;"1";"02";"Betera R.H.C.";"010102";"01-01-02"
106;1;"1";"03";"Madzimbashuro R.H.C.";"010103";"01-01-03"
107;1;"1";"04";"Mombeyarara R.H.C.";"010104";"01-01-04"
108;1;"1";"05";"Murwira R.H.C.";"010105";"01-01-05"
109;1;"1";"06";"Zangama R.H.C.";"010106";"01-01-06"
110;1;"1";"0A";"Buhera Hospital";"01010A";"01-01-0A"
111;1;"1";"0B";"Birchenough Bridge H";"01010B";"01-01-0B"
112;1;"1";"0C";"Murambinda Hospital";"01010C";"01-01-0C"
113;1;"1";"0D";"Nyashanu Hospital";"01010D";"01-01-0D"
114;1;"1";"0E";"Viriri Hospital";"01010E";"01-01-0E"
115;1;"1";"16";"Mudawose";"010116";"01-01-16"
116;1;"1";"17";"Chimbudzi";"010117";"01-01-17"
117;1;"1";"18";"Garamwera";"010118";"01-01-18"
118;1;"1";"19";"Munyanyi";"010119";"01-01-19"
119;1;"1";"24";"Mudanda";"010124";"01-01-24"
120;1;"1";"25";"Bangure Clinic";"010125";"01-01-25"
121;1;"1";"26";"Chabata Clinic";"010126";"01-01-26"
122;1;"1";"27";"Chapanduka Clinic";"010127";"01-01-27"
123;1;"1";"28";"Chapwanya Clinic";"010128";"01-01-28"
124;1;"1";"29";"Chirozva Clinic";"010129";"01-01-29"
125;1;"1";"30";"Chiwenga Clinic";"010130";"01-01-30"
126;1;"1";"31";"Chiwese Clinic";"010131";"01-01-31"
127;1;"1";"32";"Gunura Clinic";"010132";"01-01-32"
128;1;"1";"33";"Gombe Clinic";"010133";"01-01-33"
129;1;"1";"34";"Mutepfe Clinic";"010134";"01-01-34"
130;1;"1";"35";"Mutiusinazita Clinic";"010135";"01-01-35"
131;1;"1";"36";"Muzokomba Clinic";"010136";"01-01-36"
132;1;"1";"37";"Nerutanga Clinic";"010137";"01-01-37"
133;1;"1";"38";"Rambanembasi Clinic";"010138";"01-01-38"
134;1;"1";"39";"Mumanyi R.H.C.";"010139";"01-01-39"
135;1;"1";"75";"Dorowa Clinic";"010175";"01-01-75"
136;1;"2";"01";"Bumba R.H.C.";"010201";"01-02-01"
137;1;"2";"02";"Changazi R.H.C.";"010202";"01-02-02"
138;1;"2";"03";"Chayamiti R.H.C.";"010203";"01-02-03"
139;1;"2";"04";"Chikukwa R.H.C.";"010204";"01-02-04"
140;1;"2";"05";"Nyahode Clinic";"010205";"01-02-05"
141;1;"2";"08";"Muchadziya R.H.C.";"010208";"01-02-08"
142;1;"2";"0A";"Biriviri Hospital";"01020A";"01-02-0A"
143;1;"2";"0B";"Nyanyadzi Hospital";"01020B";"01-02-0B"
144;1;"2";"0C";"Mutambara Hospital";"01020C";"01-02-0C"
145;1;"2";"0D";"Rusitu Hospital";"01020D";"01-02-0D"
146;1;"2";"0E";"Chimanimani Hospital";"01020E";"01-02-0E"
